*d0,f,8,16,12,;13,15,11,
*c1,f,8,13,;12,14,
*d2,f,10,;15,8,
*e3,m,13,11,;16,9,
*e4,f,15,9,12,;10,16,8,14,
f5,m,13,14,;11,9,12,
e6,f,16,14,12,;13,15,9,8,
f49,m,15,10,;11,14,
a7,m,15,10,;9,16,
f8,m,9,13,;15,12,10,
e9,m,13,;12,14,
b10,m,14,;16,8,
b11,m,10,8,;9,15,
e33,f,12,10,;8,11,
e34,f,16,8,9,;13,14,11,10,
e35,m,8,14,16,;15,10,9,11,
e36,f,11,12,;9,10,
e37,f,12,11,13,;10,15,16,
b38,f,12,15,10,;9,11,14,
b39,f,15,11,;16,12,14,
b40,f,10,15,;8,12,16,
b41,m,10,11,9,;14,15,12,
b42,f,15,8,;10,14,
d43,m,16,9,12,;13,14,10,8,
e44,f,14,;10,8,
f45,m,16,13,14,;11,12,15,8,
c46,f,11,9,;15,16,14,
c47,f,13,15,;12,9,11,
f48,f,14,11,;15,13,
e20,f,9,;15,10,
b21,f,11,15,;9,14,12,
b22,m,10,9,;13,15,14,
b23,f,9,;8,15,
d24,f,16,10,14,;12,9,8,
a25,f,16,15,;9,11,12,
a26,m,14,;12,8,
c27,m,12,11,;14,15,
b28,f,10,15,9,;11,12,16,
d29,m,14,9,;8,13,11,
f12,m,12,9,15,;14,13,16,10,
a13,m,13,9,;10,15,11,
d14,f,16,14,;9,13,
b15,f,12,13,16,;8,9,10,15,
a16,f,14,;9,12,
d17,m,15,16,;14,10,12,
b18,m,11,10,;8,14,12,
e19,m,12,13,11,;8,9,16,
e30,f,8,11,;10,9,
i5,m,13,14,;11,9,12,
w6,f,16,14,12,;13,15,9,8,
i49,m,15,10,;11,14,
z7,m,15,10,;9,16,
i8,m,9,13,;15,12,10,
w9,m,13,;12,14,
y10,m,14,;16,8,
y11,m,10,8,;9,15,
w33,f,12,10,;8,11,
w34,f,16,8,9,;13,14,11,10,
w35,m,8,14,16,;15,10,9,11,
w36,f,11,12,;9,10,
w37,f,12,11,13,;10,15,16,
y38,f,12,15,10,;9,11,14,
y39,f,15,11,;16,12,14,
y40,f,10,15,;8,12,16,
y41,m,10,11,9,;14,15,12,
y42,f,15,8,;10,14,
v43,m,16,9,12,;13,14,10,8,
w44,f,14,;10,8,
i45,m,16,13,14,;11,12,15,8,
x46,f,11,9,;15,16,14,
x47,f,13,15,;12,9,11,
i48,f,14,11,;15,13,
w20,f,9,;15,10,
y21,f,11,15,;9,14,12,
y22,m,10,9,;13,15,14,
y23,f,9,;8,15,
v24,f,16,10,14,;12,9,8,
z25,f,16,15,;9,11,12,
z26,m,14,;12,8,
x27,m,12,11,;14,15,
y28,f,10,15,9,;11,12,16,
v29,m,14,9,;8,13,11,
i12,m,12,9,15,;14,13,16,10,
z13,m,13,9,;10,15,11,
v14,f,16,14,;9,13,
y15,f,12,13,16,;8,9,10,15,
z16,f,14,;9,12,
v17,m,15,16,;14,10,12,
y18,m,11,10,;8,14,12,
w19,m,12,13,11,;8,9,16,
w30,f,8,11,;10,9,
n27,m,12,11,;14,15,
n28,f,10,15,9,;11,12,16,
n29,m,14,9,;8,13,11,
n2,m,12,9,15,;14,13,16,10,
n13,m,13,9,;10,15,11,
n14,f,16,14,;9,13,
n15,f,12,13,16,;8,9,10,15,
n16,f,14,;9,12,
n17,m,15,16,;14,10,12,
n18,m,11,10,;8,14,12,
n19,m,12,13,11,;8,9,16,
n30,f,8,11,;10,9,
